Time	Speaker	Label
4.666666666666667	220926_CLIP_02:pepper	1.0
4.7	220926_CLIP_02:pepper	1.0
4.733333333333333	220926_CLIP_02:pepper	1.0
4.766666666666667	220926_CLIP_02:pepper	1.0
4.8	220926_CLIP_02:pepper	1.0
4.833333333333333	220926_CLIP_02:pepper	1.0
4.866666666666666	220926_CLIP_02:pepper	1.0
4.9	220926_CLIP_02:pepper	1.0
4.933333333333334	220926_CLIP_02:pepper	1.0
4.966666666666667	220926_CLIP_02:pepper	1.0
5.0	220926_CLIP_02:pepper	1.0
5.033333333333333	220926_CLIP_02:pepper	1.0
5.066666666666666	220926_CLIP_02:pepper	1.0
5.266666666666667	220926_CLIP_02:pepper	1.0
5.3	220926_CLIP_02:pepper	1.0
5.333333333333333	220926_CLIP_02:pepper	1.0
5.366666666666666	220926_CLIP_02:pepper	1.0
5.4	220926_CLIP_02:pepper	1.0
5.433333333333334	220926_CLIP_02:pepper	1.0
5.466666666666667	220926_CLIP_02:pepper	1.0
5.5	220926_CLIP_02:pepper	1.0
5.533333333333333	220926_CLIP_02:pepper	1.0
5.566666666666666	220926_CLIP_02:pepper	1.0
5.6	220926_CLIP_02:pepper	1.0
5.633333333333334	220926_CLIP_02:pepper	1.0
5.666666666666667	220926_CLIP_02:pepper	1.0
5.7	220926_CLIP_02:pepper	1.0
5.733333333333333	220926_CLIP_02:pepper	1.0
5.766666666666667	220926_CLIP_02:pepper	1.0
5.8	220926_CLIP_02:pepper	1.0
5.833333333333333	220926_CLIP_02:pepper	1.0
5.866666666666666	220926_CLIP_02:pepper	1.0
5.9	220926_CLIP_02:pepper	1.0
5.933333333333334	220926_CLIP_02:pepper	1.0
5.966666666666667	220926_CLIP_02:pepper	1.0
6.0	220926_CLIP_02:pepper	1.0
6.033333333333333	220926_CLIP_02:pepper	1.0
6.066666666666666	220926_CLIP_02:pepper	1.0
6.1	220926_CLIP_02:pepper	1.0
6.133333333333334	220926_CLIP_02:pepper	1.0
6.166666666666667	220926_CLIP_02:pepper	1.0
6.2	220926_CLIP_02:pepper	1.0
6.233333333333333	220926_CLIP_02:pepper	1.0
6.5	220926_CLIP_02:pepper	1.0
6.533333333333333	220926_CLIP_02:pepper	1.0
6.566666666666666	220926_CLIP_02:pepper	1.0
6.6	220926_CLIP_02:pepper	1.0
6.633333333333334	220926_CLIP_02:pepper	1.0
6.666666666666667	220926_CLIP_02:pepper	1.0
6.7	220926_CLIP_02:pepper	1.0
6.733333333333333	220926_CLIP_02:pepper	1.0
6.766666666666667	220926_CLIP_02:pepper	1.0
6.8	220926_CLIP_02:pepper	1.0
6.833333333333333	220926_CLIP_02:pepper	1.0
6.866666666666666	220926_CLIP_02:pepper	1.0
6.9	220926_CLIP_02:pepper	1.0
6.933333333333334	220926_CLIP_02:pepper	1.0
6.966666666666667	220926_CLIP_02:pepper	1.0
7.0	220926_CLIP_02:pepper	1.0
7.033333333333333	220926_CLIP_02:pepper	1.0
7.066666666666666	220926_CLIP_02:pepper	1.0
7.1	220926_CLIP_02:pepper	1.0
7.133333333333334	220926_CLIP_02:pepper	1.0
7.166666666666667	220926_CLIP_02:pepper	1.0
7.2	220926_CLIP_02:pepper	1.0
7.233333333333333	220926_CLIP_02:pepper	1.0
7.266666666666667	220926_CLIP_02:pepper	1.0
7.3	220926_CLIP_02:pepper	1.0
17.933333333333334	220926_CLIP_02:pepper	1.0
17.966666666666665	220926_CLIP_02:pepper	1.0
18.0	220926_CLIP_02:pepper	1.0
18.03333333333333	220926_CLIP_02:pepper	1.0
18.066666666666663	220926_CLIP_02:pepper	1.0
18.1	220926_CLIP_02:pepper	1.0
18.133333333333333	220926_CLIP_02:pepper	1.0
18.166666666666668	220926_CLIP_02:pepper	1.0
18.2	220926_CLIP_02:pepper	1.0
18.23333333333333	220926_CLIP_02:pepper	1.0
18.266666666666666	220926_CLIP_02:pepper	1.0
18.3	220926_CLIP_02:pepper	1.0
18.33333333333333	220926_CLIP_02:pepper	1.0
18.366666666666667	220926_CLIP_02:pepper	1.0
18.4	220926_CLIP_02:pepper	1.0
18.433333333333334	220926_CLIP_02:pepper	1.0
18.466666666666665	220926_CLIP_02:pepper	1.0
18.5	220926_CLIP_02:pepper	1.0
18.53333333333333	220926_CLIP_02:pepper	1.0
18.566666666666663	220926_CLIP_02:pepper	1.0
18.6	220926_CLIP_02:pepper	1.0
18.633333333333333	220926_CLIP_02:pepper	1.0
18.666666666666668	220926_CLIP_02:pepper	1.0
18.7	220926_CLIP_02:pepper	1.0
18.73333333333333	220926_CLIP_02:pepper	1.0
18.766666666666666	220926_CLIP_02:pepper	1.0
18.8	220926_CLIP_02:pepper	1.0
18.83333333333333	220926_CLIP_02:pepper	1.0
18.866666666666667	220926_CLIP_02:pepper	1.0
18.9	220926_CLIP_02:pepper	1.0
18.933333333333334	220926_CLIP_02:pepper	1.0
18.966666666666665	220926_CLIP_02:pepper	1.0
19.0	220926_CLIP_02:pepper	1.0
19.03333333333333	220926_CLIP_02:pepper	1.0
20.5	220926_CLIP_02:pepper	1.0
20.53333333333333	220926_CLIP_02:pepper	1.0
20.566666666666663	220926_CLIP_02:pepper	1.0
20.6	220926_CLIP_02:pepper	1.0
